Location,Temperature (C ),pH,Conductivity (uS/cm),DO mg/L,DO %,Average PO,Time,year,month,day,hour,minutes,Description
Gull Bay (6m),18.8,7.26,68.1,7.73,84.1,0.027,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (12m),9,6.89,55.1,9.29,81.3,0.027,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (15m),7.8,6.91,54.3,11.56,96.2,0.02,2:00:00 PM,2019,8,5,14,0,sunny
Gull River (0m),24.2,7.58,74.4,6.92,87.7,0.02,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (1m),24.3,7.35,71.5,5.37,64.3,0.033,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (9m),10.8,7.12,59.3,8,67.5,0.1,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (20m),8.5,7.4,60.5,11.5,94.7,0.033,2:00:00 PM,2019,8,5,14,0,sunny
Gull Bay (3m),24.6,8.2,70.9,3.8,63.8,0.05,10:30:00 AM,2019,8,5,10,30,sunny
Gull Bay (8m),13,7.9,57.1,8.55,83.8,0.043,10:30:00 AM,2019,8,5,10,30,sunny
Gull Bay (27m),8.8,7.6,51,11,93.9,0.069,10:30:00 AM,2019,8,5,10,30,sunny
Camp Creek (Outflow),23.8,8.16,84.8,6.89,81.6,0.047,9:00:00 AM,2019,8,6,9,0,rain
Camp Creek (Outflow),23.8,8.11,62.1,7.22,85.4,0.007,9:00:00 AM,2019,8,6,9,0,rain
Camp Creek (Outflow),23.4,7.96,60.3,7.05,82.7,0.06,9:55:00 AM,2019,8,6,9,55,rain
Camp Creek (Outflow),23.4,7.98,71.2,6.82,80.1,0.073,9:55:00 AM,2019,8,6,9,55,rain
Camp Creek (Outflow),24.2,7.9,83.6,7.39,88.1,0.125,1:37:00 AM,2019,8,6,1,37,rain
Shoreline,24.2,7.89,62.4,7.21,86.1,0.063,1:37:00 AM,2019,8,6,1,37,rain
Gull Bay (1m),24.5,7.67,,6.62,77.5,0.063,10:30:00 AM,2019,8,5,10,30,sunny
Gull Bay (6m),21.6,7.49,,8.23,93,0.05,10:30:00 AM,2019,8,5,10,30,sunny
Gull Bay (20m),8,7.05,,7.85,67.8,0.077,10:30:00 AM,2019,8,5,10,30,sunny
Dock (0m),24.6,7.57,71.2,6.48,74.7,0.077,10:00:00 AM,2019,8,6,10,0,rain
Dock (0m),24.1,7.56,89.7,6.7,79.7,0.03,10:00:00 AM,2019,8,6,10,0,rain
Dock (0m),24.5,7.65,95.9,6.62,79.5,0.07,10:00:00 AM,2019,8,6,10,0,rain
Creek Creek (mid),12,7.28,58.5,10.38,98.5,0.157,10:00:00 AM,2019,8,6,10,0,rain
Creek near Bunkhouse 2,12.9,7.25,89.4,9.45,89.4,0.113,9:06:00 AM,2019,8,6,9,6,rain
Creek near Bunkhouse 3,13.9,7.49,57.7,9.3,95.7,0.203,10:00:00 AM,2019,8,6,10,0,rain
Rain Water,19.1,7.52,42,7.38,79.6,0.063,9:14:00 AM,2019,8,6,9,14,rain
5m (middle of lake),24,7.96,81.7,5.05,60.4,0.03,10:00:00 AM,2019,8,5,10,0,sunny
10m (middle of lake),10.5,7.78,59.1,10,95.2,0.02,1:47:00 AM,2019,8,5,1,47,sunny
12m (middle of the lake),9.2,7.57,57.7,8.8,78,0.077,9:58:00 AM,2019,8,5,9,58,sunny
Creek near parking lot 1,,,,,,,10:30:00 AM,2019,8,6,10,30,rain
Creek near parking lot 2,12.3,7.24,60.2,8.92,87.2,0.113,9:20:00 AM,2019,8,6,9,20,rain
Creek near parking lot 3,15.3,6.89,61.4,7.2,73,0.12,10:13:00 AM,2019,8,6,10,13,rain
Camp Creek (Weir),16,7.52,46.6,7.52,78.6,0.057,1:48:00 AM,2019,8,6,1,48,rain
Camp Creek (Weir),16,6.82,61.3,7.57,78,0.273,10:06:00 AM,2019,8,6,10,6,rain
Creek near septic tank (before rain),11.8,7.42,58,10.22,94.5,0.167,1:48:00 AM,2019,8,6,1,48,rain
Creek near septic tank (during rain),12.9,7.03,33.2,9.4,89,0.177,9:13:00 AM,2019,8,6,9,13,rain
Creek near septic tank (after rain),13.7,7.49,55.5,9.98,96.2,0.16,10:10:00 AM,2019,8,6,10,10,rain
Weir(upstream after rain),15.1,7.24,31.1,8.68,86.3,0.09,3:00:00 PM,2019,8,6,15,0,rain
Exit of stream into lake (before rain),12.2,7.65,67.1,9.52,88.7,0.044,9:15:00 AM,2019,8,6,9,15,rain
Exit of stream into lake (during rain),13.5,7.21,49.5,8.75,87.2,0.38,10:15:00 AM,2019,8,6,10,15,rain
Exit of stream into lake (after rain),14.3,7.18,61,8.85,87.1,0.15,1:55:00 AM,2019,8,6,1,55,rain
East Shore (before rain),24,7.52,70.2,6.57,78.5,0.03,9:20:00 AM,2019,8,6,9,20,rain
East Shore (during rain),23.7,7.3,35.2,6.52,80.5,0.067,10:20:00 AM,2019,8,6,10,20,rain
East Shore (after rain),24.4,7.04,71.2,6.2,77.5,0.087,2:00:00 AM,2019,8,6,2,0,rain
Gull Bay (25m),6.9,7.1,,9.4,80,0.02,10:30 AM,2021,8,15,10,30,sunny
Gull Bay (2.5m),23.5,7.23,,7.43,88.3,0.01,10:30 AM,2021,8,15,10,30,sunny
Gull River (1m),23.7,7.29,,8.75,105,0.02,11:00 AM,2021,8,15,11,0,sunny
Camp Creek (Weir),15.3,7.02,,7.64,76.4,0.067,4:45 PM,2021,8,15,16,45,sunny
Camp Creek (Bridge),13,7.24,,9.15,86.8,0.06,4:55 PM,2021,8,15,16,55,sunny
Dock (0m),23.8,7.31,,8.56,99,0.027,5:00 PM,2021,8,15,17,0,sunny
Shoreline,21.8,7.04,,6.22,71,0.073,11:00 AM,2021,8,16,11,0,sunny
Rackety Creek Outflow (0m),24.2,7.3,,6.42,74.2,0.017,4:00 PM,2021,8,15,16,0,sunny
Little Bob Lake,,,,,,0.017,4:30 PM,2021,8,15,16,30,sunny
Camp Creek (Weir),14.5,6.93,44,6.94,68,0.087,11:32 AM,2021,8,15,11,32,sunny
Camp Creek (Bridge),12.5,7.17,58.9,9.82,92,0.097,11:51 AM,2021,8,15,11,51,sunny
Camp Creek (Outflow),25.2,7.5,68,7.98,97,0.013,11:56 AM,2021,8,15,11,56,sunny
Camp Creek (Weir),,,,,,0.083,11:42 AM,2021,8,16,11,42,sunny
Camp Creek (Bridge),,,,,,0.1,1:59 PM,2021,8,16,13,59,sunny
Rackety Creek Outflow (2.5m),23.9,7.35,,7.5,89,0.027,11:00 AM,2021,8,18,11,0,sunny
Rackety Creek Outflow (24m),8.4,6.91,,9.25,79.8,0.035,11:00 AM,2021,8,18,11,0,sunny
Gull Bay (25m),7.9,7.03,,9.14,77,0.023,11:30:00 AM,2021,8,18,11,30,sunny
Camp Creek (Wetlands),18.2,6.65,,9.04,93.2,0.144,12:05:00 PM,2021,8,18,12,5,sunny
Camp Creek (Weir),15.3,6.73,,6.47,65,0.1,10:10:00 AM,2021,8,18,10,10,sunny
Camp Creek (Mid),13,6.97,,8.33,79.5,0.096,10:34:00 AM,2021,8,18,10,34,sunny
Camp Creek (Bridge),13.5,7.02,,10.37,99.8,0.135,10:42:00 AM,2021,8,18,10,42,sunny
Camp Creek (Weir),15.9,6.93,,7.74,81.1,0.21,7:50:00 PM,2021,8,18,19,50,sunny
Camp Creek (Mid),13.6,6.95,,9.89,96,0.263,7:35:00 PM,2021,8,18,19,35,sunny
Camp Creek (Bridge),14.3,7.29,,9.45,92.3,0.247,7:24:00 PM,2021,8,18,19,24,sunny
Gull Bay (2.5m),24.5,7.4,,7.82,92,0.15,4:32:00 PM,2021,8,18,16,32,sunny
Gull River (1m),24.8,7.51,,7.6,90,0.143,4:45:00 PM,2021,8,18,16,45,sunny
Little Bob Lake ,24.7,7.37,,6.18,75,,12:03 PM,2021,8,19,12,3,sunny
GullBay (27m),,,,,,0.193,11:30:00 AM,2021,8,19,11,30,sunny
Gull Lake Outflow (2.5m),24,7.43,,5.36,63.8,,11:00 AM,2021,8,19,11,0,sunny
Gull Bay (2.5m),24.6,7.55,,6.83,77.4,,12:00 PM,2021,8,19,12,0,sunny
Gull Bay (27m),8.1,6.9,,10.75,94,,11:30:00 AM,2021,8,19,11,30,sunny
Camp Creek (Mid),,,,,,0.263,7:35:00 PM,2021,8,19,19,35,sunny
Camp Creek (Weir),,,,,,0.21,7:50:00 PM,2021,8,19,19,50,sunny
Little Bob Lake ,,,,,,0.013,12:02:00 PM,2021,8,19,12,2,sunny
Gull Lake Outflow (2.5m),,,,,,0.157,11:30:00 AM,2021,8,19,11,30,sunny
Gull Bay (2.5m),,,,,,0.02,11:30:00 AM,2021,8,19,11,30,sunny
Rackety Creek Outflow (0m),24.2,7.3,,6.42,74.2,0.017,4:00 PM,2021,8,15,16,0,sunny
Rackety Creek Upstream,23.5,7.3,,6.35,71,0.027,11:00 AM,2021,8,18,11,0,sunny
Rackety Creek Outflow (0m),,,,,,0.017,11:30 AM,2021,8,18,11,30,sunny
Rackety Creek Outflow (0m),24.6,7.18,,6.09,75,0.136,11:39 AM,2021,8,19,11,39,sunny
Rackety Creek Upstream,24.5,7.17,,7.64,91,0.02,11:54 AM,2021,8,19,11,54,sunny
Rackety Creek Upstream,,,,,,0.017,11:45:00 AM,2021,8,22,11,45,sunny
Rackety Creek Outflow (0m),,,,,,0.03,12:20:00 PM,2021,8,22,12,20,sunny
Rackety Creek Upstream,26.5,7.05,48.3,7.48,93,0.02,3:52:00 PM,2021,8,25,15,52,sunny
Rackety Creek at Midstream ,26.6,7.24,49.2,3.48,43.6,0.027,3:07:00 PM,2021,8,25,15,7,sunny
Rackety Creek Upstream,18,6.92,50.9,5.94,63.9,0.14,11:00:00 AM,2021,8,22,11,0,sunny
Gull Lake Outflow (2.5m),26,7.54,74.3,5.8,71.5,0.03,2:30:00 PM,2021,8,22,14,30,sunny
Gull Bay (16m),11,7.22,58.1,8.39,76,0.023,2:50:00 PM,2021,8,22,14,50,sunny
Camp Creek (Outflow),15.3,6.88,74.6,6.77,69.1,2.92,10:30:00 AM,2021,8,22,10,30,sunny
Rackety Creek Outflow (2.5m),25.7,7.52,69.4,7.25,89.25,0.023,10:40:00 AM,2021,8,22,10,40,sunny
Gull River (2.5m),25.5,7.16,65.7,8.2,99.9,0.072,11:20:00 AM,2021,8,22,11,20,sunny
Dock (0m),25.8,7.27,67.8,7.3,90.1,0.023,11:00:00 AM,2021,8,22,11,0,sunny
Camp Creek (Outflow),,,,,,0.44,7:30:00 PM,2021,8,21,19,30,sunny
Little Bob Lake,,,,,,0.042,12:00,2021,8,22,12,0,sunny
Camp Creek (Outflow),27.2,7.36,73,5.44,68.9,0.027,11:00:00 AM,2021,8,23,11,0,sunny
Dock (0m),26.7,7.43,68.6,4.81,60.5,0.03,11:20:00 AM,2021,8,23,11,20,sunny
Camp Creek (Weir),,,,,,0.117,10:30:00 AM,2021,8,23,10,30,sunny
Camp Creek (Outflow),,,,,,0.14,10:20:00 AM,2021,8,23,10,20,sunny
Camp Creek (Mid),20,7.15,42.2,5.17,57,0.14,11:40:00 AM,2021,8,25,11,40,sunny
Camp Creek (Outflow),17.3,7.42,71.2,6.79,71.1,0.128,3:15:00 PM,2021,8,25,15,15,sunny
Dock (0m),26.9,7.41,70,4.55,57.2,0.033,4:30:00 PM,2021,8,25,16,30,sunny
Camp Creek (Weir) ,16.4,6.6,50,8.58,88,0.107,11:20:00 AM,2021,8,25,11,20,sunny
Dock (0m),26.2,7.46,73.5,6.97,86.6,0.107,4:30:00 AM,2021,8,25,4,30,sunny
Shoreline,26.9,7.22,70.4,5.28,66.1,0.04,4:38:00 PM,2021,8,25,16,38,sunny
Gull River  (2.5m),25.9,7.56,70.9,6.47,80.4,0.103,12:00:00 PM,2021,8,25,12,0,sunny
Gull River (0m),26.1,7.52,70.5,5.7,70.6,0.03,12:12:00 PM,2021,8,25,12,12,sunny
Rackety Creek at Weir ,26.5,7.05,48.3,7.48,93,0.02,3:52:00 PM,2021,8,25,15,52,sunny
Rackety Creek Midstream ,26.6,7.24,49.2,3.48,43.6,0.027,3:07:00 PM,2021,8,25,15,7,sunny
Gull Bay (2.5m),25.6,7.32,,7.61,92.8,0.033,11:15:00 AM,2021,8,25,11,15,sunny
Gull Bay (45m),7.4,7.2,,7.7,65.5,0.045,12:00:00 PM,2021,8,25,12,0,sunny
Gull Bay (8m),15.8,7.06,67.4,,,0.107,11:20:00 AM,2021,8,29,11,20,sunny
Gull River (2.5m),24.4,7.31,66.1,,,0.05,11:30:00 AM,2021,8,29,11,30,sunny
Shoreline,23.3,7.34,64.4,,,0.04,11:05:00 AM,2021,8,29,11,5,sunny
Camp Creek (Wetlands),20.8,6.97,61.7,5.27,59.2,0.23,5:02:00 PM,2021,8,29,17,2,rain
Dock (0m),24.5,7.33,,7.57,90.4,0.05,11:25:00 AM,2021,8,29,11,25,sunny
Camp Creek (bridge),17.1,7.3,73.1,8.78,91,0.173,5:02:00 AM,2021,8,29,5,2,sunny
Camp Creek (Weir) ,17.5,6.69,59.4,6.67,67.1,0.225,11:40:00 AM,2021,8,29,11,40,sunny
Camp Creek (mid),16.8,6.95,61,6.89,70.5,0.41,11:53:00 AM,2021,8,29,11,53,sunny
Rackety Creek Outflow (2.5m),25.4,7.53,68.6,5.7,69.5,0.023,4:49:00 PM,2021,8,29,16,49,rain
Rackety Creek Outflow (6m),24.6,7.51,68.3,6.12,73.5,0.033,4:55:00 PM,2021,8,29,16,55,rain
Camp Creek (wetlands),18,6.03,55.4,0.85,9,0.878,11:00:00 AM,2021,8,29,11,0,sunny
Camp creek (outflow),16.2,7.78,79.4,6.41,60,,11:40:00 AM,2021,8,29,11,40,sunny
rain   ,,,,,,0.232,,2021,8,29,0,0,sunny
Gull Lake outflow (2.5m),25.5,8.06,72,4.51,55.2,,4:15:00 PM,2021,8,29,16,15,rain
Gull Lake outflow (2.5m),26,8.1,73.3,4.1,50.5,,4:30:00 PM,2021,8,29,16,30,rain
Dock (2.5m),25.5,8.01,69.9,3.79,46.3,0.056,4:50:00 PM,2021,8,29,16,50,rain
Rackety Creek upstream,25.1,7.27,45,7.68,93.1,0.048,10:35:00 AM,2021,8,30,10,35,rain
Bob Dam Weir ,,,,,,0.025,11:10:00 AM,2021,8,30,11,10,rain
Bob Lake Weir,,,,,,0.044,12:40:00 PM,2021,8,30,12,40,rain
Camp Creek (Outflow),16,7.21,73,8.26,83.8,0.144,11:30:00 AM,2021,8,30,11,30,rain
Gull Bay (6m),23.3,7.38,68.1,6.11,71.5,0.095,10:45:00 AM,2021,9,1,10,45,sunny
Camp Creek (Weir),16,7.11,49.4,5.77,58.5,0.119,11:36:00 AM,2021,9,1,11,36,sunny
Gull Bay (30m),8.3,6.17,52.8,11.68,99.4,0.07,10:55:00 AM,2021,9,1,10,55,sunny
Camp Creek (Bridge),13.8,7.44,67.5,9.25,89.9,0.153,11:30:00 AM,2021,9,1,11,30,sunny
Gull Bay (8m),18.9,6.97,69,5.9,63.9,0.2,10:45:00 AM,2021,9,1,10,45,sunny
Camp Creek (mid),13.2,6.95,53.5,8.06,77.3,,11:35:00 AM,2021,9,1,11,35,sunny
Camp Creek (mid),13.9,7,54.5,6.78,65.9,0.058,11:50:00 AM,2021,9,1,11,50,sunny
Camp Creek (Outflow),13.5,7.23,1.7,8.43,79.5,0.157,10:49:00 AM,2021,9,1,10,49,sunny
Gull Bay (20m),7.8,6.86,54.3,8.71,74.31,0.033,11:33:00 AM,2021,9,1,11,33,sunny
Gull Bay (8m),,,,,,,11:33:00 AM,2021,9,1,11,33,sunny
Camp Creek (Weir),17,7.09,50.1,6.72,67.8,0.145,10:33:00 AM,2021,9,1,10,33,sunny
Gull Bay (2.5m),23.9,7.69,67.9,5.04,59.9,0.122,11:30:00 AM,2021,9,1,11,30,sunny
Gull Bay(5m),20,7.18,67.8,5.99,66,0.06,11:15:00 AM,2021,9,1,11,15,sunny
Gull River (14m),12.7,6.85,59.7,7.78,73.9,0.088,11:45:00 AM,2021,9,1,11,45,sunny
Stagnent (2m),20.5,7.3,61.6,6.69,73.8,0.04,11:30:00 AM,2021,9,1,11,30,sunny
Dock (1m),22.1,7.44,62.5,6.42,73.6,0.053,11:45:00 AM,2021,9,1,11,45,sunny
Gull River Output (4.8m),19.8,7.45,56.4,6.66,73.6,0.064,11:00:00 AM,2021,9,1,11,0,sunny
Gull River (5m),19.7,7.39,57.9,6.36,69.6,0.037,10:30:00 AM,2021,9,1,10,30,sunny
Camp Creek (Weir),,,,,,0.08,11:15:00 AM,2021,9,2,11,15,clear
Camp Creek (Bridge),,,,,,0.128,11:15:00 AM,2021,9,2,11,15,clear
Camp Creek (Mid),,,,,,0.08,12:20:00 PM,2021,9,2,12,20,clear
Gull Bay (8m),,6.12,74,9.55,84.2,0.043,10:46:00 AM,2022,8,22,10,46,rain
Camp Creek Outflow,15.6,6.07,70.6,8.73,83.1,0.132,3:01:00 PM,2022,8,22,15,1,rain
Dock (0m),27.9,6.59,80.2,5.22,67.1,0.027,3:06:00 PM,2022,8,22,15,6,rain
Well #1,8.5,5.72,30.8,5.76,48.5,1.223,3:10:00 AM,2022,8,22,3,10,rain
Gull River (15m),8.8,6.55,63.1,10.5,91,0.037,11:45:00 AM,2022,8,22,11,45,rain
Camp Creek (Bridge),14,6.1,64.4,9.38,90.3,0.157,10:50:00 AM,2022,8,22,10,50,rain
Camp Creek Outflow ,17,6.7,81.5,8.42,88.7,0.234,10:53:00 AM,2022,8,22,10,53,rain
Shoreline (Pumphouse),27,7.3,82.4,5.11,64,0.028,3:27:00 PM,2022,8,22,15,27,rain
Gull River (9m),11.4,6.29,68.5,9.05,83.6,0.023,11:45:00 AM,2022,8,22,11,45,rain
Camp Creek (Weir),15.7,6.32,54.5,8,82.4,0.14,11:06:00 AM,2022,8,22,11,6,rain
Rackety Creek Outflow (27m),7,6.78,58.6,12,108,0.15,3:50:00 PM,2022,8,22,15,50,rain
Gull Bay (15m),9,5.734,85.9,12.25,110,0.098,10:53:00 AM,2022,8,22,10,53,rain
Camp Creek (Weir),16.4,5.56,85.4,9.55,99.2,0.188,2:45:00 PM,2022,8,22,14,45,rain
Well #4,12.2,5.74,207.4,8.71,83,0.038,3:38:00 PM,2022,8,22,15,38,rain
Well #2,7.43,5.61,65.9,7.04,58.2,3.8,12:00:00 PM,2022,8,22,12,0,rain
Rackety Creek Outflow (15m),8.6,6.2,70.4,8.03,70.6,0.105,3:18:00 AM,2022,8,22,3,18,rain
Camp Creek (Outflow),15.5,6.33,80,9.64,96.5,0.154,5:17:00 AM,2022,8,22,5,17,rain
Rackety Creek Outflow (5m),23.8,6.67,86.4,6.38,73.8,0.035,3:19:00 PM,2022,8,22,15,19,rain
Camp Creek (Outflow),14.9,6.7,81.5,9.47,97.8,0.113,6:38:00 PM,2022,8,22,18,38,rain
Well #3,7.8,6.47,190.3,4.84,41.1,0.81,12:30:00 PM,2022,8,22,12,30,rain
Camp Creek (Wetlands),15.3,6.67,40.9,9,89.9,0.1,7:08:00 AM,2022,8,6,7,8,sunny
Dock (0m),22.6,7.22,70.9,8.53,98.8,0.038,7:22:00 AM,2022,8,6,7,22,sunny
Dock (0m),23.5,7.38,72.3,6,70.6,0.028,10:00:00 AM,2022,8,6,10,0,sunny
Shoreline (School house),24.2,7.26,72.7,5.03,60,0.033,10:45:00 AM,2022,8,6,10,45,sunny
South western point 10 meters southwest of SWP - NaN,24.1,7.32,73,6.3,76,0.03,11:00:00 AM,2022,8,6,11,0,sunny
Shoreline (School house),24.4,7.42,73.4,6.85,82.5,0.023,11:45:00 AM,2022,8,6,11,45,sunny
Gull Lake (10m from Camp Creek Outflow),23.8,6.33,76.5,6.8,80.4,0.173,10:50:00 AM,2022,8,6,10,50,sunny
Camp creek (Weir),17.4,6.02,72.8,8.66,91,0.06,10:55:00 AM,2022,8,6,10,55,sunny
Camp Creek (Wetlands),15.8,5.84,110,9.51,94.9,0.177,11:34:00 AM,2022,8,6,11,34,sunny
Gull Bay (15m),7.8,6.75,56,8.89,78,0.028,11:08:00 AM,2022,8,6,11,8,sunny
Rackety Creek Outflow (0m),24.2,7.27,75.7,6.36,75.5,0.027,11:29:00 AM,2022,8,6,11,29,sunny
Gull River (0m),24.2,7.24,75.1,5.48,65.3,0.033,11:43:00 AM,2022,8,6,11,43,sunny
Camp Creek (Bridge),16.2,6.02,78.3,8.57,87.7,0.15,2:33:00 PM,2022,8,6,14,33,sunny
Gull Bay (9m),11,6.38,67.9,8.84,87.8,0.03,11:24:00 AM,2022,8,6,11,24,sunny
Little Bob Lake,25.8,6.64,54.3,6,73.7,0.03,12:20:00 PM,2022,8,6,12,20,sunny
Camp Creek (Outflow),17,7.17,78.3,6.69,72.3,0.097,2:48:00 PM,2022,8,6,14,48,sunny
Camp Creek (Outflow),16.2,7.26,74.5,7.25,76.7,0.087,11:39:00 AM,2022,8,6,11,39,sunny
Camp Creek (Bridge),14.7,6.98,70.2,7.81,79.2,0.107,11:11:00 AM,2022,8,6,11,11,sunny
Camp Creek (Weir),15.7,7.62,42.2,8.2,86.3,0.133,10:50:00 AM,2022,8,6,10,50,sunny
Camp Creek (Weir),17.4,6.67,45.8,9.2,98.4,0.08,2:20:00 PM,2022,8,6,14,20,sunny
Camp Creek (Outflow),25.9,7.57,84.8,5.38,66.4,0.11,2:43:00 PM,2022,8,6,14,43,sunny
Well #1,9.1,5.87,35.5,8.05,72,1.034,2:20:00 PM,2022,8,6,14,20,sunny
Camp Creek (Mid),14.8,6.5,65.5,8.58,86.5,0.167,2:38:00 PM,2022,8,6,14,38,sunny
Camp Creek (Bridge),16.6,6.66,73.9,8.27,83.2,0.04,2:50:00 PM,2022,8,6,14,50,sunny
Rackety creek Outflow (0m),24.6,6.81,51.6,6.82,82.3,0.068,12:20:00 PM,2022,8,6,12,20,sunny
Camp Creek (Bridge),15.5,6.84,53.4,100.9,9.61,0.108,11:17:00 AM,2022,8,6,11,17,sunny
Camp Creek (Mid),16.5,7.07,64.2,102,9.81,0.105,11:00:00 AM,2022,8,6,11,0,sunny
Camp Creek (Bridge),14.5,7.17,68.9,93.9,9.35,0.088,10:36:00 AM,2022,8,6,10,36,sunny
Shoreline (School house),25.4,7.47,74.6,5.23,62.7,0.024,2:35:00 PM,2022,8,6,14,35,sunny
South western point 10 meters southwest of SWP,25,7.57,74.1,7.33,88.9,0.024,2:45:00 PM,2022,8,6,14,45,sunny
Gull Lake (lily pads),24.7,7.58,73.8,6.58,79.2,0.026,3:00:00 PM,2022,8,6,15,0,sunny
Dock (0m),28.3,7.41,84,4.72,60.7,0.057,4:10:00 PM,2022,8,6,16,10,sunny
Camp Creek (Wetlands),16.2,6.28,44,8,78.4,0.124,7:50:00 PM,2022,8,6,19,50,sunny
Camp Creek (Weir),16.3,7,45.4,5.91,60.7,0.16,11:30:00 AM,2022,8,6,11,30,sunny
Well #1,12.1,6.4,39,6.83,64.5,1.966,11:10:00 AM,2022,8,6,11,10,sunny
Camp Creek (Weir),16.3,7,45.4,5.91,60.7,0.143,3:55:00 PM,2022,8,6,15,55,sunny
Gull Lake (10m from Camp Creek Outflow),27,7.73,82.7,4.7,61.6,0.058,3:10:00 PM,2022,8,6,15,10,sunny
Gull Lake (30m from Camp Creek Outflow),26.9,7.8,82.7,4.4,55.5,0.058,3:12:00 PM,2022,8,6,15,12,sunny
Dock (0m),25.5,7.69,75.2,9.14,111.6,0.028,4:26:00 PM,2022,8,6,16,26,sunny
Camp Creek (Bridge),16.1,7.42,72.8,10.23,108.3,0.117,3:45:00 PM,2022,8,6,15,45,sunny
Gull Lake (lily pads),23.6,7.31,75.3,4.65,54.8,-0.01,10:30 AM,2022,8,9,10,30,clear
Dock (5m),23.6,6.94,75.1,6.94,76.5,0.04,10:15 AM,2022,8,9,10,15,clear
Shoreline (Pumphouse),23,7.7,76,5.4,62.7,0.08,11:14:00 AM,2022,8,9,11,14,clear
Camp Creek (Wetlands),16.1,8.44,52.6,6.3,64,0.268,2:32 PM,2022,8,9,14,32,clear
Camp Creek (Bridge),14.8,8.5,95.8,7.32,72.5,0.113,2:47 PM,2022,8,9,14,47,clear
Camp Creek (Mid),14.6,10.37,70.9,7.99,78.6,0.113,3:05 PM,2022,8,9,15,5,clear
Camp Creek (Outflow),17.1,7.47,77.6,6.24,64.8,0.133,3:27 PM,2022,8,9,15,27,clear
Camp Creek (Outflow),15.4,7.42,85.1,7.63,76.2,0.167,11:35:00 AM,2022,8,9,11,35,clear
Camp Creek (Outflow),16.6,6.96,75.8,8.25,85.8,0.09,11:06 AM,2022,8,9,11,6,clear
Camp Creek (Outflow),14.6,10.16,132.3,7.32,71.9,0.073,2:57 PM,2022,8,9,14,57,clear
Camp Creek (Weir),17.5,,111,,81.1,0.05,2:24 PM,2022,8,9,14,24,clear
Camp Creek (Weir),16,8.34,38.4,6.84,69.5,0.107,2:40 PM,2022,8,9,14,40,clear
Camp Creek (Weir),16.4,6.48,42.7,6.9,70.8,0.147,10:20 AM,2022,8,9,10,20,clear
Camp Creek (Bridge),15.5,7.34,72,8.9,92.8,0.102,11:20 AM,2022,8,9,11,20,clear
Camp Creek (Mid),16,6.84,51,6.3,64.1,0.143,10:34 AM,2022,8,9,10,34,clear
Camp Creek (Wetlands),16.4,6.03,32.8,4.71,48.8,0.493,10:36 AM,2022,8,9,10,36,clear
